name,lat,lng,address,province,city,area,uid,tag1,tag2
九三学社江苏省书院,32.07548024946464,118.74378,江苏省南京市鼓楼区淮滨路3号,江苏省,南京市,鼓楼区,2101d02eb135b8dcdbecedc8,教育培训,图书馆
东南大学丁家桥校区-图书馆,32.07727280663186,118.783104,丁家桥87号东南大学丁家桥校区,江苏省,南京市,鼓楼区,680fb70341e364e28bb98817,教育培训,图书馆
happykids美言美语图书馆,32.06391592077326,118.787736,江苏省南京市鼓楼区湖南路街道中山北路28号江苏商厦三楼,江苏省,南京市,鼓楼区,14324e219abab2e738e4a657,教育培训,图书馆
美原英文图书馆,32.04513941193628,118.783984,鼓楼区汉中路120-1号青华大厦B2904室,江苏省,南京市,鼓楼区,91e9a1302990f33bad04577c,教育培训,图书馆
南京医科大学-图书馆,32.046095786562304,118.781976,汉中路140号南京医科大学,江苏省,南京市,鼓楼区,7121d80b7154230733169b49,教育培训,图书馆
中国药科大学(玄武门校区)-图书馆,32.07394913595082,118.785064,童家巷24号中国药科大学玄武门校区,江苏省,南京市,鼓楼区,8fa14fc325218713f6eafca1,教育培训,图书馆
慈氏图书馆,32.059190341503694,118.783615,江苏省南京市鼓楼区南京大学苏富特大厦,江苏省,南京市,鼓楼区,cb23a5aea3f03baeb64f5410,教育培训,图书馆
中央门街道工人新村社区-图书室,32.08201282135658,118.785686,鼓楼区工人新村82,江苏省,南京市,鼓楼区,5c01749d9e7ccc3aabf7297a,教育培训,图书馆
南大图书馆,32.056216777808054,118.787574,江苏省南京市鼓楼区汉口路22号南大图书馆,江苏省,南京市,鼓楼区,343993087841e5659e9d687a,教育培训,图书馆
清江花园图书馆,32.07017113461808,118.761447,江苏省南京市鼓楼区热河南路街道定淮门大街2号清江花园图书馆,江苏省,南京市,鼓楼区,24a4f7fb7cc3d6021d580070,教育培训,图书馆
南京医科大学第二附属医院-图书馆,32.08298131761685,118.752247,江苏省南京市鼓楼区姜家园121号南京医科大学第二附属医院医技楼4F,江苏省,南京市,鼓楼区,ec0cb1e5980fd61895ca070c,教育培训,图书馆
南京三十九中图书馆,32.09344463774302,118.764824,江苏省南京市鼓楼区新民路128号南京三十九中图书馆,江苏省,南京市,鼓楼区,37af4e4f98533d039d95dea9,教育培训,图书馆
江苏第二师范学院-图书馆,32.06025539810969,118.761256,江苏省南京市鼓楼区北京西路77号江苏第二师范学院内,江苏省,南京市,鼓楼区,c7eca12b847b994ae015f9a1,教育培训,图书馆
南京大学鼓楼校区-116(图书馆),32.05616836490257,118.787328,汉口路22号图书馆F1层,江苏省,南京市,鼓楼区,9227c8ee3342f7214054d728,教育培训,图书馆
江苏城市职业学院图书馆-西楼,32.07032305401352,118.761145,古平岗35-1,江苏省,南京市,鼓楼区,0ea687ab1fa598989e9d6837,教育培训,图书馆
南京大学鼓楼校区-09(图书馆),32.05622769095631,118.78758,汉口路22号图书馆F1层,江苏省,南京市,鼓楼区,bc9060ffa02a78ac9b68b4a5,教育培训,图书馆
南京大学鼓楼校区-102(图书馆),32.05675737691026,118.78726,汉口路22号图书馆F1层,江苏省,南京市,鼓楼区,b644cc7f2db5f0c054bfff1b,教育培训,图书馆
安仁会馆·安仁中医图书馆,32.052863327223704,118.782883,南京市鼓楼区广州路140号随园大厦15层G座,江苏省,南京市,鼓楼区,29e5839ad1b1b7e2740269de,教育培训,图书馆
馆长室(图书馆),32.0562740449623,118.788183,汉口路22号图书馆F2层,江苏省,南京市,鼓楼区,820d1e7527f95930373a71a7,教育培训,图书馆
南京大学鼓楼校区-307(图书馆),32.05629154349471,118.787316,汉口路22号图书馆F3层,江苏省,南京市,鼓楼区,661b66bc10c6282888f15daf,教育培训,图书馆
样本图书阅览室(图书馆),32.056216777808054,118.787574,汉口路22号图书馆F4层,江苏省,南京市,鼓楼区,153dfe24c557ef74601c6772,教育培训,图书馆
南京大学鼓楼校区-117(图书馆),32.05617744295451,118.787391,汉口路22号图书馆F1层,江苏省,南京市,鼓楼区,f14c49d76a90151aeb56fa57,教育培训,图书馆
南京大学鼓楼校区-224(图书馆),32.05623310470334,118.787898,汉口路22号图书馆F2层,江苏省,南京市,鼓楼区,a1d31fb10e6cae68ce04effc,教育培训,图书馆
南艺图书馆,32.07010090498929,118.761617,江苏省南京市鼓楼区虎踞北路15号南艺图书馆,江苏省,南京市,鼓楼区,8ac04ca905c430833110af8c,教育培训,图书馆
南京大学鼓楼校区-编辑部(图书馆),32.05615396441044,118.78763,汉口路22号图书馆F1层,江苏省,南京市,鼓楼区,7832995fe6b857599868b463,教育培训,图书馆
值班台(图书馆),32.05658729900921,118.787265,汉口路22号图书馆F1层,江苏省,南京市,鼓楼区,8471a19c521af5bdcf06a412,教育培训,图书馆
江苏城市职业学院-图书馆,32.07044620970803,118.761675,江苏省南京市鼓楼区古平岗35-1,江苏省,南京市,鼓楼区,0a15c7ec8e102381ec74f8a1,教育培训,图书馆
约读书房(山西路校区),32.06954780724472,118.777863,江苏省南京市鼓楼区山西路68号兴源商务中心3楼,江苏省,南京市,鼓楼区,468abc8fadee18a930621296,教育培训,其他
科技查新(图书馆),32.056779136070574,118.787413,汉口路22号图书馆F1层,江苏省,南京市,鼓楼区,c8a642dc7f82f8c3c3364412,教育培训,图书馆
采访部(图书馆),32.05623505123922,118.788112,汉口路22号图书馆F1层,江苏省,南京市,鼓楼区,cadebecae4780024d81318a1,教育培训,图书馆
南京师范大学随园校区-对外汉语教学与留学生教育资料中心,32.05630787725587,118.776725,宁海路122号南京师范大学随园校区,江苏省,南京市,鼓楼区,9e11683c031418920482c222,教育培训,图书馆
中国社会科学研究评价中心(图书馆),32.056153123761526,118.787619,汉口路22号图书馆F5层,江苏省,南京市,鼓楼区,bf9e65f2dc9e5cc3a8f729ae,教育培训,科研机构
南京大学鼓楼校区-办公室(图书馆),32.056168874742625,118.788054,汉口路22号图书馆F2层,江苏省,南京市,鼓楼区,1dc0ad89ae1bc099cf04efae,教育培训,其他
411(图书馆),32.05617307754551,118.787416,汉口路22号图书馆F4层,江苏省,南京市,鼓楼区,1e20216c32376ce56fc02cf2,教育培训,其他
南京艺术学院设计学院(图书分馆),32.0625339968628,118.759848,北京西路74号,江苏省,南京市,鼓楼区,1ce965e64f1aa69bf9dc858c,教育培训,高等院校
